OBJECTID,ARTWORK_NAME,ARTIST,MEDIUM,LOCATION_DETAIL,ADDRESS,WARD,LATITUDE,LONGITUDE,PIC_URL,THUMB_URL
5432,Breaking Ground 2005 ,Steven Liguori,Stainless and rusted steel,Mary Dutton Park,750 E Charleston  BLVD  near S. 8th Street,Ward 3 (CLV Collection),36.1584984087,-115.143468934,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/BreakingGround.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/BreakingGround.jpg
5433,Bright Horizons 2010  ,Larry and Barbara Domsky,Plexiglas panels,Stupak Community Center Lobby,251 W Boston  Ave,Ward 3 (CLV Collection),36.1470629148,-115.159900733,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/BrightHorizons.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/BrightHorizons.jpg
5436,Martini Tables and Benches 2003,Christoff Koon,Terrazzo picnic tables and benches located throughout the park,Huntridge Circle Park,1251 S Maryland Parkway,Ward 3 (CLV Collection),36.1563555483,-115.136957529,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/CircleParkMartiniTablesAndBenches.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/CircleParkMartiniTablesAndBenches.jpg
5474,Monument to the Simulacrum 2007,Stephen Hendee,Metal and resin,5th Street School Centennial Plaza,401 S 4th  Street,Ward 3 (CLV Collection),36.1658460232,-115.143943708,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/MonumentToTheSimulacrum.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/MonumentToTheSimulacrum.jpg
5439,Nitelite 2005,Mary Warner and Rayann Figler,Light fixture paint and recycled light bulbs from original FSE canopy,First floor of the Fremont Street Experience Red Garage,495  Fremont  Street,Ward 3 (CLV Collection),36.1689275507,-115.141604383,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Nitelite2.jpg,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Nitelite2.jpg
5480,Presidential Portraits (Clinton G.W. Bush Obama) 1993 2001 2009,Walter Pfyl,Oil on Canvas,2nd Floor City Council Chambers,495 S Main Street,Ward 3 (CLV Collection),36.167138491,-115.148253766,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitsWilliamJClinton42GeorgeWBush43BarackObama44.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitsWilliamJClinton42GeorgeWBush43BarackObama44.JPG
5479,Presidential Portraits (Reagan - George H.W. Bush) 1981 1989,Jon Mardel,Oil on Canvas,2nd Floor City Council Chambers,495 S Main Street,Ward 3 (CLV Collection),36.1673706745,-115.148099553,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitsRonaldReagan40GeorgeHWBush41.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitsRonaldReagan40GeorgeHWBush41.JPG
5478,Presidential Portraits (Washington - Carter) 1976,Lawrence Williams,Oil on Canvas,2nd Floor City Council Chambers,495 S Main Street,Ward 3 (CLV Collection),36.167500661,-115.148696441,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitsGeorgeWashington1ThroughJimmyCarter39.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/PortraitsGeorgeWashington1ThroughJimmyCarter39.JPG
5477,Rivalis 1 (Nancy and Oscar) 2012,Sean Russell,Oil pastel and digital print on recycled fabric,1st Floor lobby,City Hall 495 S. Main Street,Ward 3 (CLV Collection),36.1671693618,-115.148874728,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/NancyandOscarRivalis1.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/NancyandOscarRivalis1.JPG
5475,Rivalis 2 (Lance's Storm) 2012,Sean Russell,Oil pastel and digital print on recycled fabric,Grand staircase between 1st and 2nd Floors,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1676014116,-115.148072395,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/LancesStormRivalis2.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/LancesStormRivalis2.JPG
