Violation_ID,Violation_Code,Violation_Demerits,Violation_Description,ObjectId
226,26,1,"Facilities for washing and sanitizing kitchenware approved,adequate,properly constructed,maintained and operated. ,,",14646
227,27,1,"Appropriate sanitizer test kits provided and used. Ware washing thermometer(s) as required. Wiping cloths & linens stored and used properly.,",14647
228,28,1,"Food contact surfaces and equipment approved,food grade material,smooth,easily cleanable,properly constructed and installed.,",14648
229,29,1,"Utensils,equipment,and single serve items properly handled,stored,and dispensed.,",14649
230,30,1,"Nonfood contact surfaces and equipment properly constructed,installed,maintained and clean.,",14650
231,31,1,"Health cards as required. Foodhandler not aware of employee health policy. A"" grade card posted conspicuously. ,""",14651
232,32,1,"Restrooms,mop sink,and custodial areas maintained and clean.Premises maintained free of litter,unnecessary equipment,or personal effects. Trash areas adequate,pest proof,and clean.",14652
233,33,1,"Facility in sound condition and maintained (floors,walls,ceilings,plumbing,lighting,ventilation,etc.).",14653
234,34,1,"Fruits and vegetables washed prior to preparation or service.,",14654
301,IHH-1,0,"Imminent Health Hazard - (Immediate Closure) - Interruption of electrical service,",14655
302,IHH-2,0,"Imminent Health Hazard - (Immediate Closure) - No potable water or hot water,",14656
303,IHH-3,0,"Imminent Health Hazard - (Immediate Closure) - Gross unsanitary occurrences or conditions including pest infestation,",14657
304,IHH-4,0,"Imminent Health Hazard - (Immediate Closure) - Sewage or liquid waste not disposed of in an approved manner,",14658
305,IHH-5,0,"Imminent Health Hazard - (Immediate Closure) - Lack of adequate refrigeration,",14659
306,IHH-6,0,"Imminent Health Hazard - (Immediate Closure) - Lack of adequate employee toilets and handwashing facilities,",14660
307,IHH-7,0,"Imminent Health Hazard - (Immediate Closure) - Misuse of poisonous or toxic materials,",14661
308,IHH-8,0,"Imminent Health Hazard - (Immediate Closure) - Suspected foodborne illness outbreak,",14662
309,IHH-9,0,"Imminent Health Hazard - (Immediate Closure) - Emergency such as fire and/or flood,",14663
310,IHH-10,0,"Imminent Health Hazard - (Immediate Closure) - Other condition or circumstance that may endanger public health,",14664
2907,2907,3,"Food and warewashing equipment approved,properly designed,constructed and installed.,",14665
2908,2908,3,"PHF/TCSs properly thawed. Fruits and vegetables washed prior to preparation or service.,",14666
2909,2909,3,"Grade/card signs posted. Consumer advisory. Records/logs. NCIAA. PHFs labeled/dated. Offsite label.,",14667
2910,2910,0,"Non-PHF labeled/dated/not spoiled/within shelf-life. Food stored off-floor. Retail chemical storage.,",14668
2911,2911,0,"Sanitizer kits available. Equip. & ware washing therm. as required. Wiping cloths and linen use.,",14669
2912,2912,0,"Small wares and portable appliances approved,properly designed,in good repair.,",14670
2925,2925,0,"Acceptable personal hygiene,clean garments,hair restraints. Living quarters & child care separate.,",14671
2926,2926,0,"Ware washing facilities approved,adequate,properly constructed,maintained & operated.,,",14672
2927,2927,0,"Utensils,equipment,and single serve items properly handled,stored,and dispensed.,",14673
2928,2928,0,"Nonfood contact surfaces and equipment properly constructed,installed,maintained and clean.,",14674
2929,2929,0,"RR's,mop sk,cust. areasclean/maint. No litter,unnec. equip,pers items. Trash area clean/maint.,",14675
2930,2930,0,"Facility maintained (floors,walls,ceilings,plumbing,lighting,ventilation,etc.).",14676
2931,2931,0,"Time as a control. Operational plan,waiver/variance followed. Permit parameters followed.,,",14677
2932,2932,0,"Hand washing as required,no bare hand w/ RTE foods. Foodhandler health restrictions as required.,,",14678
2933,2933,0,"Food from an approved source w/ proper labels. Parasite destruction. PHF's received @ proper temp.,",14679
2934,2934,0,"Hot & cold running water from an approved source as required.,",14680
2935,2935,0,"Imminently dangerous cross connection or backflow. Waste water and sewage properly disposed of.,",14681
2936,2936,0,"Food wholesome,not spoiled,contaminated,or adulterated.,,",14682
2937,2937,0,"PHF/TCSs cooked and reheated to proper temperature.,",14683
2938,2938,0,"PHF/TCSs properly cooled.,",14684
2939,2939,0,"PHF/TCSs maintained at proper temperature.,",14685
2940,2940,0,"Food protected from potential contamination during storage and preparation.,",14686
2941,2941,0,"Food protected from potential contamination by chemicals. Toxic items labeled,stored & used.,,",14687
2942,2942,0,"Food protected from potential contamination by employees and consumers.,",14688
2943,2943,0,"Kitchenware & FCS of equip. properly washed,rinsed,san. & air dried. San solution as required.,",14689
2944,2944,0,"Handwashing facilities adequate in number,stocked,accessible,and limited to handwashing only.,,",14690
2945,2945,0,"Effective pest control measures. Animals restricted as required.,",14691
2946,2946,0,"Hot and cold holding equipment present,properly designed,maintained and operated.,",14692
2947,2947,0,"Accurate thermometers (stem & hot/cold holding) provided and used.,",14693
2948,2948,0,"Single use items not reused or misused.,",14694
